run_id,test_instance_id,method,initialization,targetnumpods,targetnumorders,targetnumitems,subproblemsevaluated,subproblemtimeinterval,timeforreooptimization,timeforsubproblemselection,tabutype,mlmodel,partitionobjective
105,3,LTO,none,24,20,72,50,360,10,10,orderedsp,partition,synergy
106,3,LTO,none,24,20,72,50,360,30,30,lastopt10,partition,random
107,3,LTO,none,24,20,72,50,360,20,20,lastopt10,partition,random
108,3,LTO,none,24,20,72,50,360,10,10,lastopt10,partition,random
109,3,LTO,none,24,20,72,50,360,30,30,lastoptall,partition,random
110,3,LTO,none,24,20,72,50,360,20,20,lastoptall,partition,random
111,3,LTO,none,24,20,72,50,360,10,10,lastoptall,partition,random
112,3,LTO,none,24,20,72,50,360,30,30,tabu15,partition,random
113,3,LTO,none,24,20,72,50,360,20,20,tabu15,partition,random
114,3,LTO,none,24,20,72,50,360,10,10,tabu15,partition,random
115,3,LTO,none,24,20,72,50,360,30,30,tabu8,partition,random
116,3,LTO,none,24,20,72,50,360,20,20,tabu8,partition,random
117,3,LTO,none,24,20,72,50,360,10,10,tabu8,partition,random
118,3,LTO,none,24,20,72,50,360,30,30,orderedsp,partition,random
119,3,LTO,none,24,20,72,50,360,20,20,orderedsp,partition,random
120,3,LTO,none,24,20,72,50,360,10,10,orderedsp,partition,random
121,3,LTO,none,24,20,72,50,360,30,30,lastopt10,partition,heuristic
122,3,LTO,none,24,20,72,50,360,20,20,lastopt10,partition,heuristic
123,3,LTO,none,24,20,72,50,360,10,10,lastopt10,partition,heuristic
124,3,LTO,none,24,20,72,50,360,30,30,lastoptall,partition,heuristic
125,3,LTO,none,24,20,72,50,360,20,20,lastoptall,partition,heuristic
126,3,LTO,none,24,20,72,50,360,10,10,lastoptall,partition,heuristic
127,3,LTO,none,24,20,72,50,360,30,30,tabu15,partition,heuristic
128,3,LTO,none,24,20,72,50,360,20,20,tabu15,partition,heuristic
129,3,LTO,none,24,20,72,50,360,10,10,tabu15,partition,heuristic
130,3,LTO,none,24,20,72,50,360,30,30,tabu8,partition,heuristic
131,3,LTO,none,24,20,72,50,360,20,20,tabu8,partition,heuristic
132,3,LTO,none,24,20,72,50,360,10,10,tabu8,partition,heuristic
133,3,LTO,none,24,20,72,50,360,30,30,orderedsp,partition,heuristic
134,3,LTO,none,24,20,72,50,360,20,20,orderedsp,partition,heuristic
135,3,LTO,none,24,20,72,50,360,10,10,orderedsp,partition,heuristic
136,4,LTO,none,24,20,72,50,360,30,30,lastopt10,partition,synergy
137,4,LTO,none,24,20,72,50,360,20,20,lastopt10,partition,synergy
138,4,LTO,none,24,20,72,50,360,10,10,lastopt10,partition,synergy
139,4,LTO,none,24,20,72,50,360,30,30,lastoptall,partition,synergy
140,4,LTO,none,24,20,72,50,360,20,20,lastoptall,partition,synergy
141,4,LTO,none,24,20,72,50,360,10,10,lastoptall,partition,synergy
142,4,LTO,none,24,20,72,50,360,30,30,tabu15,partition,synergy
143,4,LTO,none,24,20,72,50,360,20,20,tabu15,partition,synergy
144,4,LTO,none,24,20,72,50,360,10,10,tabu15,partition,synergy
145,4,LTO,none,24,20,72,50,360,30,30,tabu8,partition,synergy
146,4,LTO,none,24,20,72,50,360,20,20,tabu8,partition,synergy
147,4,LTO,none,24,20,72,50,360,10,10,tabu8,partition,synergy
148,4,LTO,none,24,20,72,50,360,30,30,orderedsp,partition,synergy
149,4,LTO,none,24,20,72,50,360,20,20,orderedsp,partition,synergy
150,4,LTO,none,24,20,72,50,360,10,10,orderedsp,partition,synergy
151,4,LTO,none,24,20,72,50,360,30,30,lastopt10,partition,random
152,4,LTO,none,24,20,72,50,360,20,20,lastopt10,partition,random
153,4,LTO,none,24,20,72,50,360,10,10,lastopt10,partition,random
154,4,LTO,none,24,20,72,50,360,30,30,lastoptall,partition,random
155,4,LTO,none,24,20,72,50,360,20,20,lastoptall,partition,random
156,4,LTO,none,24,20,72,50,360,10,10,lastoptall,partition,random
157,4,LTO,none,24,20,72,50,360,30,30,tabu15,partition,random
158,4,LTO,none,24,20,72,50,360,20,20,tabu15,partition,random
159,4,LTO,none,24,20,72,50,360,10,10,tabu15,partition,random
160,4,LTO,none,24,20,72,50,360,30,30,tabu8,partition,random
161,4,LTO,none,24,20,72,50,360,20,20,tabu8,partition,random
162,4,LTO,none,24,20,72,50,360,10,10,tabu8,partition,random
163,4,LTO,none,24,20,72,50,360,30,30,orderedsp,partition,random
164,4,LTO,none,24,20,72,50,360,20,20,orderedsp,partition,random
165,4,LTO,none,24,20,72,50,360,10,10,orderedsp,partition,random
166,4,LTO,none,24,20,72,50,360,30,30,lastopt10,partition,heuristic
167,4,LTO,none,24,20,72,50,360,20,20,lastopt10,partition,heuristic
168,4,LTO,none,24,20,72,50,360,10,10,lastopt10,partition,heuristic
169,4,LTO,none,24,20,72,50,360,30,30,lastoptall,partition,heuristic
170,4,LTO,none,24,20,72,50,360,20,20,lastoptall,partition,heuristic
171,4,LTO,none,24,20,72,50,360,10,10,lastoptall,partition,heuristic
172,4,LTO,none,24,20,72,50,360,30,30,tabu15,partition,heuristic
173,4,LTO,none,24,20,72,50,360,20,20,tabu15,partition,heuristic
174,4,LTO,none,24,20,72,50,360,10,10,tabu15,partition,heuristic
175,4,LTO,none,24,20,72,50,360,30,30,tabu8,partition,heuristic
176,4,LTO,none,24,20,72,50,360,20,20,tabu8,partition,heuristic
177,4,LTO,none,24,20,72,50,360,10,10,tabu8,partition,heuristic
178,4,LTO,none,24,20,72,50,360,30,30,orderedsp,partition,heuristic
179,4,LTO,none,24,20,72,50,360,20,20,orderedsp,partition,heuristic
180,4,LTO,none,24,20,72,50,360,10,10,orderedsp,partition,heuristic
181,5,LTO,none,24,20,72,50,360,30,30,lastopt10,partition,synergy
182,5,LTO,none,24,20,72,50,360,20,20,lastopt10,partition,synergy
183,5,LTO,none,24,20,72,50,360,10,10,lastopt10,partition,synergy
184,5,LTO,none,24,20,72,50,360,30,30,lastoptall,partition,synergy
185,5,LTO,none,24,20,72,50,360,20,20,lastoptall,partition,synergy
186,5,LTO,none,24,20,72,50,360,10,10,lastoptall,partition,synergy
187,5,LTO,none,24,20,72,50,360,30,30,tabu15,partition,synergy
188,5,LTO,none,24,20,72,50,360,20,20,tabu15,partition,synergy
189,5,LTO,none,24,20,72,50,360,10,10,tabu15,partition,synergy
190,5,LTO,none,24,20,72,50,360,30,30,tabu8,partition,synergy
191,5,LTO,none,24,20,72,50,360,20,20,tabu8,partition,synergy
192,5,LTO,none,24,20,72,50,360,10,10,tabu8,partition,synergy
193,5,LTO,none,24,20,72,50,360,30,30,orderedsp,partition,synergy
194,5,LTO,none,24,20,72,50,360,20,20,orderedsp,partition,synergy
195,5,LTO,none,24,20,72,50,360,10,10,orderedsp,partition,synergy
196,5,LTO,none,24,20,72,50,360,30,30,lastopt10,partition,random
197,5,LTO,none,24,20,72,50,360,20,20,lastopt10,partition,random
198,5,LTO,none,24,20,72,50,360,10,10,lastopt10,partition,random
199,5,LTO,none,24,20,72,50,360,30,30,lastoptall,partition,random
200,5,LTO,none,24,20,72,50,360,20,20,lastoptall,partition,random
201,5,LTO,none,24,20,72,50,360,10,10,lastoptall,partition,random
202,5,LTO,none,24,20,72,50,360,30,30,tabu15,partition,random
203,5,LTO,none,24,20,72,50,360,20,20,tabu15,partition,random
204,5,LTO,none,24,20,72,50,360,10,10,tabu15,partition,random
205,5,LTO,none,24,20,72,50,360,30,30,tabu8,partition,random
206,5,LTO,none,24,20,72,50,360,20,20,tabu8,partition,random
207,5,LTO,none,24,20,72,50,360,10,10,tabu8,partition,random
208,5,LTO,none,24,20,72,50,360,30,30,orderedsp,partition,random
209,5,LTO,none,24,20,72,50,360,20,20,orderedsp,partition,random
210,5,LTO,none,24,20,72,50,360,10,10,orderedsp,partition,random
211,5,LTO,none,24,20,72,50,360,30,30,lastopt10,partition,heuristic
212,5,LTO,none,24,20,72,50,360,20,20,lastopt10,partition,heuristic
213,5,LTO,none,24,20,72,50,360,10,10,lastopt10,partition,heuristic
214,5,LTO,none,24,20,72,50,360,30,30,lastoptall,partition,heuristic
215,5,LTO,none,24,20,72,50,360,20,20,lastoptall,partition,heuristic
216,5,LTO,none,24,20,72,50,360,10,10,lastoptall,partition,heuristic
217,5,LTO,none,24,20,72,50,360,30,30,tabu15,partition,heuristic
218,5,LTO,none,24,20,72,50,360,20,20,tabu15,partition,heuristic
219,5,LTO,none,24,20,72,50,360,10,10,tabu15,partition,heuristic
220,5,LTO,none,24,20,72,50,360,30,30,tabu8,partition,heuristic
221,5,LTO,none,24,20,72,50,360,20,20,tabu8,partition,heuristic
222,5,LTO,none,24,20,72,50,360,10,10,tabu8,partition,heuristic
223,5,LTO,none,24,20,72,50,360,30,30,orderedsp,partition,heuristic
224,5,LTO,none,24,20,72,50,360,20,20,orderedsp,partition,heuristic
225,5,LTO,none,24,20,72,50,360,10,10,orderedsp,partition,heuristic
226,1,LTO,none,24,20,40,50,240,30,30,lastopt10,partition,synergy
227,1,LTO,none,24,20,40,50,240,20,20,lastopt10,partition,synergy
228,1,LTO,none,24,20,40,50,240,10,10,lastopt10,partition,synergy
229,1,LTO,none,24,20,40,50,240,30,30,lastoptall,partition,synergy
230,1,LTO,none,24,20,40,50,240,20,20,lastoptall,partition,synergy
231,1,LTO,none,24,20,40,50,240,10,10,lastoptall,partition,synergy
232,1,LTO,none,24,20,40,50,240,30,30,tabu15,partition,synergy
233,1,LTO,none,24,20,40,50,240,20,20,tabu15,partition,synergy
234,1,LTO,none,24,20,40,50,240,10,10,tabu15,partition,synergy
235,1,LTO,none,24,20,40,50,240,30,30,tabu8,partition,synergy
236,1,LTO,none,24,20,40,50,240,20,20,tabu8,partition,synergy
237,1,LTO,none,24,20,40,50,240,10,10,tabu8,partition,synergy
238,1,LTO,none,24,20,40,50,240,30,30,orderedsp,partition,synergy
239,1,LTO,none,24,20,40,50,240,20,20,orderedsp,partition,synergy
240,1,LTO,none,24,20,40,50,240,10,10,orderedsp,partition,synergy
241,2,LTO,none,24,20,40,50,240,30,30,lastopt10,partition,synergy
242,2,LTO,none,24,20,40,50,240,20,20,lastopt10,partition,synergy
243,2,LTO,none,24,20,40,50,240,10,10,lastopt10,partition,synergy
244,2,LTO,none,24,20,40,50,240,30,30,lastoptall,partition,synergy
245,2,LTO,none,24,20,40,50,240,20,20,lastoptall,partition,synergy
246,2,LTO,none,24,20,40,50,240,10,10,lastoptall,partition,synergy
247,2,LTO,none,24,20,40,50,240,30,30,tabu15,partition,synergy
248,2,LTO,none,24,20,40,50,240,20,20,tabu15,partition,synergy
249,2,LTO,none,24,20,40,50,240,10,10,tabu15,partition,synergy
250,2,LTO,none,24,20,40,50,240,30,30,tabu8,partition,synergy
251,2,LTO,none,24,20,40,50,240,20,20,tabu8,partition,synergy
252,2,LTO,none,24,20,40,50,240,10,10,tabu8,partition,synergy
253,2,LTO,none,24,20,40,50,240,30,30,orderedsp,partition,synergy
254,2,LTO,none,24,20,40,50,240,20,20,orderedsp,partition,synergy
255,2,LTO,none,24,20,40,50,240,10,10,orderedsp,partition,synergy
256,3,LTO,none,24,20,40,50,240,30,30,lastopt10,partition,synergy
257,3,LTO,none,24,20,40,50,240,20,20,lastopt10,partition,synergy
258,3,LTO,none,24,20,40,50,240,10,10,lastopt10,partition,synergy
259,3,LTO,none,24,20,40,50,240,30,30,lastoptall,partition,synergy
260,3,LTO,none,24,20,40,50,240,20,20,lastoptall,partition,synergy
261,3,LTO,none,24,20,40,50,240,10,10,lastoptall,partition,synergy
262,3,LTO,none,24,20,40,50,240,30,30,tabu15,partition,synergy
263,3,LTO,none,24,20,40,50,240,20,20,tabu15,partition,synergy
264,3,LTO,none,24,20,40,50,240,10,10,tabu15,partition,synergy
265,3,LTO,none,24,20,40,50,240,30,30,tabu8,partition,synergy
266,3,LTO,none,24,20,40,50,240,20,20,tabu8,partition,synergy
267,3,LTO,none,24,20,40,50,240,10,10,tabu8,partition,synergy
268,3,LTO,none,24,20,40,50,240,30,30,orderedsp,partition,synergy
269,3,LTO,none,24,20,40,50,240,20,20,orderedsp,partition,synergy
270,3,LTO,none,24,20,40,50,240,10,10,orderedsp,partition,synergy
271,4,LTO,none,24,20,40,50,240,30,30,lastopt10,partition,synergy
272,4,LTO,none,24,20,40,50,240,20,20,lastopt10,partition,synergy
273,4,LTO,none,24,20,40,50,240,10,10,lastopt10,partition,synergy
274,4,LTO,none,24,20,40,50,240,30,30,lastoptall,partition,synergy
275,4,LTO,none,24,20,40,50,240,20,20,lastoptall,partition,synergy
276,4,LTO,none,24,20,40,50,240,10,10,lastoptall,partition,synergy
277,4,LTO,none,24,20,40,50,240,30,30,tabu15,partition,synergy
278,4,LTO,none,24,20,40,50,240,20,20,tabu15,partition,synergy
279,4,LTO,none,24,20,40,50,240,10,10,tabu15,partition,synergy
280,4,LTO,none,24,20,40,50,240,30,30,tabu8,partition,synergy
281,4,LTO,none,24,20,40,50,240,20,20,tabu8,partition,synergy
282,4,LTO,none,24,20,40,50,240,10,10,tabu8,partition,synergy
283,4,LTO,none,24,20,40,50,240,30,30,orderedsp,partition,synergy
284,4,LTO,none,24,20,40,50,240,20,20,orderedsp,partition,synergy
285,4,LTO,none,24,20,40,50,240,10,10,orderedsp,partition,synergy
286,5,LTO,none,24,20,40,50,240,30,30,lastopt10,partition,synergy
287,5,LTO,none,24,20,40,50,240,20,20,lastopt10,partition,synergy
288,5,LTO,none,24,20,40,50,240,10,10,lastopt10,partition,synergy
289,5,LTO,none,24,20,40,50,240,30,30,lastoptall,partition,synergy
290,5,LTO,none,24,20,40,50,240,20,20,lastoptall,partition,synergy
291,5,LTO,none,24,20,40,50,240,10,10,lastoptall,partition,synergy
292,5,LTO,none,24,20,40,50,240,30,30,tabu15,partition,synergy
293,5,LTO,none,24,20,40,50,240,20,20,tabu15,partition,synergy
294,5,LTO,none,24,20,40,50,240,10,10,tabu15,partition,synergy
295,5,LTO,none,24,20,40,50,240,30,30,tabu8,partition,synergy
296,5,LTO,none,24,20,40,50,240,20,20,tabu8,partition,synergy
297,5,LTO,none,24,20,40,50,240,10,10,tabu8,partition,synergy
298,5,LTO,none,24,20,40,50,240,30,30,orderedsp,partition,synergy
299,5,LTO,none,24,20,40,50,240,20,20,orderedsp,partition,synergy
300,5,LTO,none,24,20,40,50,240,10,10,orderedsp,partition,synergy
301,1,LTO,greedy,24,20,72,50,360,30,30,lastopt10,partition,synergy
302,1,LTO,greedy,24,20,72,50,360,20,20,lastopt10,partition,synergy
303,1,LTO,greedy,24,20,72,50,360,10,10,lastopt10,partition,synergy
304,1,LTO,greedy,24,20,72,50,360,30,30,lastoptall,partition,synergy
305,1,LTO,greedy,24,20,72,50,360,20,20,lastoptall,partition,synergy
306,1,LTO,greedy,24,20,72,50,360,10,10,lastoptall,partition,synergy
307,1,LTO,greedy,24,20,72,50,360,30,30,tabu15,partition,synergy
308,1,LTO,greedy,24,20,72,50,360,20,20,tabu15,partition,synergy
309,1,LTO,greedy,24,20,72,50,360,10,10,tabu15,partition,synergy
310,1,LTO,greedy,24,20,72,50,360,30,30,tabu8,partition,synergy
311,1,LTO,greedy,24,20,72,50,360,20,20,tabu8,partition,synergy
312,1,LTO,greedy,24,20,72,50,360,10,10,tabu8,partition,synergy
313,1,LTO,greedy,24,20,72,50,360,30,30,orderedsp,partition,synergy
314,1,LTO,greedy,24,20,72,50,360,20,20,orderedsp,partition,synergy
315,1,LTO,greedy,24,20,72,50,360,10,10,orderedsp,partition,synergy
316,1,LTO,greedy,24,20,72,50,360,30,30,lastopt10,partition,random
317,1,LTO,greedy,24,20,72,50,360,20,20,lastopt10,partition,random
318,1,LTO,greedy,24,20,72,50,360,10,10,lastopt10,partition,random
319,1,LTO,greedy,24,20,72,50,360,30,30,lastoptall,partition,random
320,1,LTO,greedy,24,20,72,50,360,20,20,lastoptall,partition,random
321,1,LTO,greedy,24,20,72,50,360,10,10,lastoptall,partition,random
322,1,LTO,greedy,24,20,72,50,360,30,30,tabu15,partition,random
323,1,LTO,greedy,24,20,72,50,360,20,20,tabu15,partition,random
324,1,LTO,greedy,24,20,72,50,360,10,10,tabu15,partition,random
325,1,LTO,greedy,24,20,72,50,360,30,30,tabu8,partition,random
326,1,LTO,greedy,24,20,72,50,360,20,20,tabu8,partition,random
327,1,LTO,greedy,24,20,72,50,360,10,10,tabu8,partition,random
328,1,LTO,greedy,24,20,72,50,360,30,30,orderedsp,partition,random
329,1,LTO,greedy,24,20,72,50,360,20,20,orderedsp,partition,random
330,1,LTO,greedy,24,20,72,50,360,10,10,orderedsp,partition,random
331,1,LTO,greedy,24,20,72,50,360,30,30,lastopt10,partition,heuristic
332,1,LTO,greedy,24,20,72,50,360,20,20,lastopt10,partition,heuristic
333,1,LTO,greedy,24,20,72,50,360,10,10,lastopt10,partition,heuristic
334,1,LTO,greedy,24,20,72,50,360,30,30,lastoptall,partition,heuristic
335,1,LTO,greedy,24,20,72,50,360,20,20,lastoptall,partition,heuristic
336,1,LTO,greedy,24,20,72,50,360,10,10,lastoptall,partition,heuristic
337,1,LTO,greedy,24,20,72,50,360,30,30,tabu15,partition,heuristic
338,1,LTO,greedy,24,20,72,50,360,20,20,tabu15,partition,heuristic
339,1,LTO,greedy,24,20,72,50,360,10,10,tabu15,partition,heuristic
340,1,LTO,greedy,24,20,72,50,360,30,30,tabu8,partition,heuristic
341,1,LTO,greedy,24,20,72,50,360,20,20,tabu8,partition,heuristic
342,1,LTO,greedy,24,20,72,50,360,10,10,tabu8,partition,heuristic
343,1,LTO,greedy,24,20,72,50,360,30,30,orderedsp,partition,heuristic
344,1,LTO,greedy,24,20,72,50,360,20,20,orderedsp,partition,heuristic
345,1,LTO,greedy,24,20,72,50,360,10,10,orderedsp,partition,heuristic
346,2,LTO,greedy,24,20,72,50,360,30,30,lastopt10,partition,synergy
347,2,LTO,greedy,24,20,72,50,360,20,20,lastopt10,partition,synergy
348,2,LTO,greedy,24,20,72,50,360,10,10,lastopt10,partition,synergy
349,2,LTO,greedy,24,20,72,50,360,30,30,lastoptall,partition,synergy
350,2,LTO,greedy,24,20,72,50,360,20,20,lastoptall,partition,synergy
351,2,LTO,greedy,24,20,72,50,360,10,10,lastoptall,partition,synergy
352,2,LTO,greedy,24,20,72,50,360,30,30,tabu15,partition,synergy
353,2,LTO,greedy,24,20,72,50,360,20,20,tabu15,partition,synergy
354,2,LTO,greedy,24,20,72,50,360,10,10,tabu15,partition,synergy
355,2,LTO,greedy,24,20,72,50,360,30,30,tabu8,partition,synergy
356,2,LTO,greedy,24,20,72,50,360,20,20,tabu8,partition,synergy
357,2,LTO,greedy,24,20,72,50,360,10,10,tabu8,partition,synergy
358,2,LTO,greedy,24,20,72,50,360,30,30,orderedsp,partition,synergy
359,2,LTO,greedy,24,20,72,50,360,20,20,orderedsp,partition,synergy
360,2,LTO,greedy,24,20,72,50,360,10,10,orderedsp,partition,synergy
361,2,LTO,greedy,24,20,72,50,360,30,30,lastopt10,partition,random
362,2,LTO,greedy,24,20,72,50,360,20,20,lastopt10,partition,random
363,2,LTO,greedy,24,20,72,50,360,10,10,lastopt10,partition,random
364,2,LTO,greedy,24,20,72,50,360,30,30,lastoptall,partition,random
365,2,LTO,greedy,24,20,72,50,360,20,20,lastoptall,partition,random
366,2,LTO,greedy,24,20,72,50,360,10,10,lastoptall,partition,random
367,2,LTO,greedy,24,20,72,50,360,30,30,tabu15,partition,random
368,2,LTO,greedy,24,20,72,50,360,20,20,tabu15,partition,random
369,2,LTO,greedy,24,20,72,50,360,10,10,tabu15,partition,random
370,2,LTO,greedy,24,20,72,50,360,30,30,tabu8,partition,random
371,2,LTO,greedy,24,20,72,50,360,20,20,tabu8,partition,random
372,2,LTO,greedy,24,20,72,50,360,10,10,tabu8,partition,random
373,2,LTO,greedy,24,20,72,50,360,30,30,orderedsp,partition,random
374,2,LTO,greedy,24,20,72,50,360,20,20,orderedsp,partition,random
375,2,LTO,greedy,24,20,72,50,360,10,10,orderedsp,partition,random
376,2,LTO,greedy,24,20,72,50,360,30,30,lastopt10,partition,heuristic
